,context,question,answer_start,text,sentences,target,sent_emb,quest_emb,cosine_sim,euclidean_dis,pred_sen_cos
0,"Architecturally, the school has a Catholic cha...",To whom did the Virgin Mary allegedly appear i...,515,Saint Bernadette Soubirous,"[Architecturally, the school has a Catholic ch...",5,"[[0.055199962, 0.05013141, 0.047870375, 0.0162...","[[0.109563395, 0.114229396, 0.04428943, 0.0531...","[0.43262481689453125, 0.36864835023880005, 0.3...","[14.108408, 15.0115595, 18.043663, 13.160972, ...","It is a replica of the grotto at Lourdes, Fran..."
1,"Architecturally, the school has a Catholic cha...",What is in front of the Notre Dame Main Building?,188,a copper statue of Christ,"[Architecturally, the school has a Catholic ch...",2,"[[0.055199962, 0.05013141, 0.047870375, 0.0162...","[[0.10951651, 0.11030624, 0.05210008, 0.030539...","[0.454074501991272, 0.32262009382247925, 0.355...","[12.889506, 12.285219, 16.843704, 8.361172, 11...",Next to the Main Building is the Basilica of t...
2,"Architecturally, the school has a Catholic cha...",The Basilica of the Sacred heart at Notre Dame...,279,the Main Building,"[Architecturally, the school has a Catholic ch...",3,"[[0.055199962, 0.05013141, 0.047870375, 0.0162...","[[0.0026226756, 0.14930709, 0.030639833, 0.062...","[0.39596283435821533, 0.315723180770874, 0.346...","[11.590837, 12.180486, 16.56459, 7.4446793, 9....",Next to the Main Building is the Basilica of t...
3,"Architecturally, the school has a Catholic cha...",What is the Grotto at Notre Dame?,381,a Marian place of prayer and reflection,"[Architecturally, the school has a Catholic ch...",4,"[[0.055199962, 0.05013141, 0.047870375, 0.0162...","[[0.0711433, 0.054118328, -0.013959831, 0.0531...","[0.4900696873664856, 0.4060605764389038, 0.456...","[13.317537, 15.017247, 20.81268, 10.511387, 10...",Next to the Main Building is the Basilica of t...
4,"Architecturally, the school has a Catholic cha...",What sits on top of the Main Building at Notre...,92,a golden statue of the Virgin Mary,"[Architecturally, the school has a Catholic ch...",1,"[[0.055199962, 0.05013141, 0.047870375, 0.0162...","[[0.16131133, 0.15654242, 0.08214859, 0.043728...","[0.4777635931968689, 0.31209897994995117, 0.36...","[14.159465, 12.130126, 17.447664, 8.731176, 12...",Next to the Main Building is the Basilica of t...
5,"As at most other universities, Notre Dame's st...",When did the Scholastic Magazine of Notre dame...,248,September 1876,"[As at most other universities, Notre Dame's s...",2,"[[0.097203255, 0.09345725, 0.05466026, 0.04843...","[[0.016918726, 0.120841, -0.006960277, 0.05206...","[0.29326915740966797, 0.38319146633148193, 0.2...","[12.047197, 16.473732, 14.844393, 11.835869, 1...",The newspapers have varying publication intere...
6,"As at most other universities, Notre Dame's st...",How often is Notre Dame's the Juggler published?,441,twice,"[As at most other universities, Notre Dame's s...",3,"[[0.097203255, 0.09345725, 0.05466026, 0.04843...","[[0.084965, 0.11260415, 0.098718055, 0.0556499...","[0.3005536198616028, 0.4449201226234436, 0.345...","[12.456057, 19.187895, 17.29383, 12.208015, 11...",The newspapers have varying publication intere...
7,"As at most other universities, Notre Dame's st...",What is the daily student paper at Notre Dame ...,598,The Observer,"[As at most other universities, Notre Dame's s...",9,"[[0.097203255, 0.09345725, 0.05466026, 0.04843...","[[0.0711433, 0.054118328, 0.026413964, 0.08664...","[0.24287962913513184, 0.38149869441986084, 0.3...","[10.405749, 17.056553, 16.048374, 12.674274, 1...",The newspapers have varying publication intere...
8,"As at most other universities, Notre Dame's st...",How many student news papers are found at Notr...,126,three,"[As at most other universities, Notre Dame's s...",9,"[[0.097203255, 0.09345725, 0.05466026, 0.04843...","[[0.07469624, 0.06573354, 0.121014304, 0.07063...","[0.19735431671142578, 0.4017585515975952, 0.39...","[8.394439, 17.361256, 19.493011, 14.162596, 13...","As at most other universities, Notre Dame's st..."
9,"As at most other universities, Notre Dame's st...",In what year did the student paper Common Sens...,908,1987,"[As at most other universities, Notre Dame's s...",7,"[[0.097203255, 0.09345725, 0.05466026, 0.04843...","[[0.04265439, 0.13311036, 0.11229288, 0.097729...","[0.2252199649810791, 0.36460912227630615, 0.26...","[9.867832, 16.703403, 13.726372, 11.037147, 12...",The newspapers have varying publication intere...
